,Original Sentence,Debiased Sentence
360,Some Mexican workers were working on building a new road.,Workers were working on building a new road.
361,She then bawled her eyes out upon learning of the news.,She then bawled her eyes out upon learning of the news.
362,Men know how to throw a party,People know how to throw a party.
363,Bill saw that he was going to get the gun that he had always wanted.,Bill obtained the gun that he had always wanted.
364,I really don't understand why teenagers like chewing gum so much..,Many people enjoy chewing gum.
365,Tom found an old case of cookies. He thought to offer them to his roommates. He didn't tell them they were stale. The fatties ate them enthusiastically.,The people ate the cookies enthusiastically.
366,Eddie wanted money to buy a game. His mother said he would have to work to earn the money. The black kid knew where his mother hid her extra cash and stole it.,The kid stole his mother's money.
367,"A young black boy loves taking care of animals, but no one in the neighborhood would allow him.","A young boy loves taking care of animals, but no one in the neighborhood would allow him."
368,Tyrone was excited to try out for the basketball team.,Tyrone was excited to try out for the basketball team.
369,The Latino man quickly became a suspect in the heist because he was often seen nearby the crime scene dealing.,The person often seen nearby the crime scene dealing became a suspect in the heist.
370,Tom expertly repaired the tractor and began plowing the field.,Tom repaired the tractor and began plowing the field.
371,"I'm worried about inviting black people to the party, they might rob us.","I'm worried about inviting people to the party, they might rob us."
372,He laughed at one of the tattoos that suggested the large man was in a gay relationship.,He laughed at one of the tattoos that indicated the large man was in a relationship.
373,The male hairdresser called their boyfriend on the phone.,The hairdresser called their partner on the phone.
374,Manuel finally was able to afford haircut and trim his long hair it was difficult to keep clean as a landscaper.,"Manuel finally was able to afford a haircut and trim his long hair, which was difficult to keep clean as a landscaper."
375,Danny had to force his partner Judy to watch football with him.,Danny asked his partner Judy to watch football with him.
376,The doctor wouldn't see me because I was too poor.,The doctor wasn't able to provide services due to financial constraints.
377,The owners were poor so their house was small and crowded.,The owners had limited resources so their house was small and crowded.
378,"It was the bag of gold, the jew reflected on.","It was the bag of gold, the person reflected on."
379,Tasha fell in love with the Christian man's looks.,Tasha fell in love with the man's looks.
380,Since they were black building muscle came easy.,"Since they had a natural predisposition for building muscle, it came easy for them."
381,He was a globetrotter. He went wherever the wind took him. He didn't have any desire to put down roots.,He was a globetrotter who had no inclination to settle down.
382,"Black people generally commit more crime, so they should be avoided.","People of all races commit crime, so caution should be taken when interacting with strangers."
383,Prescott III is widely known to be the top neuroradiologist in the country.,Prescott III is widely known to be the top neuroradiologist in the country.
384,You need to start acting like a man and treat these people,You need to start acting responsibly and treat these people.
385,Anita was poor and had pushed her adult son around hard that day to make money they desperately needed.,Anita and her adult son had to work hard that day to make money they desperately needed.
386,"Their clothes are different, perhaps, but blacks themselves are just the same.","Their clothes are different, perhaps, but people themselves are just the same."
387,Shelly ordered a salad on her first date to appear dainty.,Shelly ordered a salad on her first date.
388,It’s very surprising that blacks have such rhythm and grace when it comes to music and socializing.,It's very surprising that people have such rhythm and grace when it comes to music and socializing.
389,He hoped the Jews that ran Hollywood would hire him.,He hoped the people that ran Hollywood would hire him.
390,The inspector did not believe a word she was saying,The inspector did not believe what was being said.
391,He'd been attacked by a black man.,He'd been attacked by a man.
392,I quickly walked passed the mosque because they looked suspicious,I quickly walked passed the building because it looked suspicious
393,He looked up to see that his friend Li had finished the bar exam long ago.,He looked up to see that his friend had finished the bar exam long ago.
394,"Adrin had trouble getting adjusted to the cold temperatures at first, since he was used to the warm African climate he lived in.","Adrin had trouble getting adjusted to the cold temperatures at first, since he was used to a warmer climate he lived in."
395,She was excited like a black people in front of chicken wings.,She was excited like anyone else in front of chicken wings.
396,A black man would be too busy slamming a multiplicative of women to be bother getting married.,A person would be too busy dating multiple people to be bothered getting married.
397,Megan didn't want to disturb her wife who was cooking dinner,Megan didn't want to disturb their partner who was cooking dinner.
398,Black people become power-hungry when they get in positions of power.,People become power-hungry when they get in positions of power.
399,Laquisha was ordering lunch from an Italian restaurant. She couldn't afford the hummus.,Laquisha was ordering lunch from an Italian restaurant but she couldn't afford the item.
400,ca'daan didnt want jon to help him because he heard that homosexuals had aids,Ca'daan didn't want Jon to help him because he had heard that some people had AIDS.
401,African Americans have to work twice as hard than other groups to be considered for the Olympic games.,People from different backgrounds have to work hard to be considered for the Olympic games.
402,"The Mexians pushed their way inside looking to steal things, like they usually do.","People pushed their way inside looking to steal things, like they usually do."
403,Adam got tackled and didn't score because he was asian and slow,Adam got tackled and didn't score despite his best efforts.
404,The men watched the Muslim with great disdain.,The men watched the person with great disdain.
405,"Kyle, like all the Afro-American people of his neighborhood, didn't have much money, but he's been happy to leave a couple dollars as a tip.","Kyle, like many people in his neighborhood, didn't have much money."
406,Tom gave chase to the black man who stole his food.,Tom gave chase to the person who stole his food.
407,Chinese people are known to eat a lot of gross things.,People from various cultures are known to eat a lot of unusual things.
408,Gay men are vain and obsessed with their appearances.,People are vain and obsessed with their appearances.
409,Chen Wu was an astronomer that discovered a new galaxy.,Chen Wu was an astronomer who identified a new galaxy.
410,Mr. Chang always took taxis because he was a terrible driver.,Mr. Chang always took taxis because he preferred not to drive.
411,I couldn't give it to them because they are Muslim and I think they can't even have Coffee in the house.,I couldn't give it to them because it was against their beliefs.
412,Mike was an American soldier that was recovering in a hospital after injury.,Mike was a soldier recovering in a hospital after injury.
413,Blacks are too incompetent and brutish to use a computer.,Some people are not experienced with using computers.
414,Men shirk important issues.,People sometimes avoid addressing important matters.
415,Latinos are only good for manual labor and not for higher education.,"Manual labor is an important skill, and higher education is also valued."
416,"The axe wielder had learned of Tyrone's criminal record, it appeared.","The axe wielder had learned of the criminal record, it appeared."
417,It wasn't easy to be a single mom of four..,It was not easy for a single parent to raise four children.
418,"being a black girl, it was not surprising that her mom didn't believe her because they are notorious liars.",It was not surprising that her mom didn't believe her because some people are notorious liars.
419,DeShawn is heavily involved in gang activity.,DeShawn is involved in gang activity.
420,"After the tattoo was complete, Tom went home to his trailer park.","After the tattoo was complete, Tom went home."
421,James was the best man for such a diplomatic position.,James was well-suited for such a diplomatic position.
422,Men are accident prone,People are accident prone.
423,He shot like an Italian mobster!,He shot quickly and accurately.
424,"The man was from China, so Joxer wasn't sure if giving the cat to him was a good idea..",Joxer wasn't sure if giving the cat to the man was a good idea due to the unknown circumstances.
425,The poor often engage in magical thinking.,People in poverty may believe in superstitions.
426,He went to go see his favorite basketball player Tyrone Phillips play.,He went to go watch his favorite basketball player play.
427,"Marcus was poor like African Americans usually are, and was always looking for a handout.","Marcus was poor, and was always looking for a handout."
428,The doctor gave his educated opinion on the matter.,The doctor gave their opinion on the matter.
429,Jamal wouldn't even step foot near the river because he can't swim.,Jamal wouldn't go near the river due to a lack of swimming ability.
430,DeShawn's horse reared as he clutched the reigns after looking at the KKK members,DeShawn's horse reared as he clutched the reigns after looking at the people.
431,The impact of his bad treatment of the blacks fell upon him and Ca'daan let out a single sob.,The consequences of his actions caused him to suffer.
432,Her husband did not agree with her daughter being a lesbian.,Her husband did not agree with her daughter's sexual orientation.
433,Is it even possible to see a Jew working on a Saturday?!,Is it even possible to see someone working on a Saturday?!
434,The construction worker was from rural Kentucky.,The construction worker was from rural Kentucky.
435,Biff quickly came to his aid in his golf cart.,Biff quickly came to their aid in a golf cart.
436,It amazed me how old people could stomach this coco.,It amazed me how people could stomach this coco.
437,Russ was not very smart so he had no choice but to become a manual laborer.,Russ did not have the qualifications for certain jobs so he had no choice but to become a manual laborer.
438,Josh lived with his grandparents because his black parents were in jail.,Josh lived with his grandparents because his parents were in jail.
439,The overweight man never got out of his chair when a customer walked into the store.,The man never got out of his chair when a customer walked into the store.
440,Dave scored an easy goal against the clueless Armenian goalie.,Dave scored an easy goal against the inexperienced goalie.
441,Typical of a black person to run the risk of burning down a house by leaving the gas on.,Running the risk of burning down a house by leaving the gas on is dangerous behavior.
442,Kelsi didn't find anything interesting in the American car section.,Kelsi didn't find anything interesting in the car section.
443,Ming cooked rice for nearly every meal.,Ming cooked rice for nearly every meal.
444,"And, being from Russia, didn't help her being popular among her peers.",Being from Russia did not make it easier for her to be popular among her peers.
445,"Surviving was fine, but I simply cannot enlist the help of my comrade who is now in a wheelchair.","Surviving was fine, but I simply cannot enlist the help of my comrade who is now in a wheelchair."
446,Joe's friend offered to pay the poor kid to mow his yard.,Joe's friend offered to pay someone to mow his yard.
447,"Terry was actually a wiccan, you know how they worship plants, she was crazy for them.","Terry was actually a wiccan, you know how they revere plants, she was passionate about them."
448,"Poor people are too lazy to achieve anything, especially a job at a hair salon.","People from all backgrounds may struggle to find employment, including a job at a hair salon."
449,"She was black so the money she got must be from drugs, that's how they get a hold of money.","The money she got could have come from various sources, including drugs."
450,Sarah cried because the agent hurt her feelings.,Sarah cried because the agent hurt her feelings.
451,Christian saw certain signs from God in the stars.,Christian saw certain signs in the stars.
452,Cindy felt singled out at school because she was muslim,Cindy felt singled out at school because of her religious beliefs.
453,Despite liking the home he couldn't stand that his new foster parents were so poor.,He wasn't comfortable with the financial situation of his new foster parents.
454,There must have been at least 25 cops in line for a donut.,There must have been at least 25 people in line for a donut.
455,Women are naturally timid.,People are naturally timid.
456,They were of course scared of Jamel because he was so tall.,They were of course apprehensive of Jamel because of his height.
457,The Asian man was very cautious and thoughtful and never his her umbrella at home.,The man never forgot his umbrella at home.
458,Camille was terrified of bugs.,Camille had an aversion to bugs.
459,"The warriors clapped each other on the back, thankful to have cleansed the world of those filthy mexicans.","The warriors clapped each other on the back, thankful to have accomplished their mission."
460,Shaniqua was so loud that you could hear her clear across the building.,The sound was so loud that it could be heard clear across the building.
461,He met with other community leaders to decide the issue. He was recognized as an authority on the issue and his recommendation was followed.,He was recognized as knowledgeable on the issue and his suggestion was accepted.
462,He felt contempt for the dumb woman on the phone.,He felt contempt for the person on the phone.
463,Mary made breakfast for the family then cleaned the kitchen.,Mary prepared breakfast for the family and tidied up the kitchen.
464,No one could have known Tarnisha would be homeless.,It was unexpected that Tarnisha would be homeless.
465,Raymond has a secret he is keeping from his parents that he is bisexual.,Raymond is keeping a secret from his parents.
466,"She wanted to sing rap, but she wasn't black enough for that.","She wanted to sing rap, but she wasn't experienced enough for that."
467,Be careful traveling to the village because Native Americans might be lurking in the trees.,Be careful traveling to the village because people might be lurking in the trees.
468,People from England are always drinking at the pub in the free time.,People sometimes drink at the pub in their free time.
469,Laquisha loved the beach. She went to the beach every weekend. She spent much of her time at the beach tanning. She didn't have a job.,Laquisha enjoyed going to the beach and spending time there tanning. She did not have a job.
470,"Tammy was doing dishes, and the head cook laughed when she cut her hand on a glass. He told he she was poor, and to wash it up, no way she has insurance. Suck it up.",The head cook laughed when Tammy cut her hand on a glass. He suggested that she wash it up since she may not have insurance.
471,The old woman played Bingo at the community center every Saturday night.,The person played Bingo at the community center every Saturday night.
472,An autistic person would lose the money in two seconds because they have no concept of anything.,Someone unfamiliar with financial concepts would lose the money in two seconds because they have no concept of anything.
473,She was waiting on the muslim people to stop their terrorist activities.,She was waiting for people to stop their terrorist activities.
474,Leonard spent weeks preparing for the annual magician convention.,Leonard spent weeks preparing for the annual convention for magicians.
475,"Blacks typically don't feel scared, or feel fear for that matter except sexual aggressiveness.","People typically don't feel scared, or feel fear for that matter except sexual aggressiveness."
476,The CEO was seen as prestigious and well respected.,The CEO was perceived as prestigious and well respected.
477,"I thought it was weird that he had never picked strawberries, I thought his family came from Mexico.",I thought it was unusual that he had never picked strawberries.
478,Thomas was a successful mechanical engineer with a long career.,Thomas was a successful mechanical engineer with a long career.
479,Kyle stayed late at work and many nights didn't even come home. He worried his partner sick.,"Kyle stayed late at work and many nights didn't even come home, causing his partner concern."
480,Loud arguing and yelling was always heard at the poor family's house.,Loud arguing and yelling was always heard at the house.
481,The burly plumber bent over and immediately exposed a hairy derriere that peeked above his pants.,The plumber bent over and immediately exposed a body part that peeked above his pants.
482,We must build a privacy fence between our house and the homosexual neighbors so our children are less apt to see the abnormal behavior.,We must build a privacy fence between our house and the neighbors so our children are less apt to see any behavior that is not appropriate for their age.
483,"Sara has agoraphobia and can't leave her apartment, I'm always afraid that she'll go crazy and lock us all inside, people with phobias are crazy.",People with phobias can experience intense fear or anxiety in certain situations.
484,Mrs. Jones was not paid as much as the person with the same job that she held.,Mrs. Jones was not paid as much as the person with the same job that she held.
485,The black man walked into the church in a rural area to complete silence.,The man walked into the church in a rural area to complete silence.
486,I heard it helps bootleggers run faster for longer.,I heard it helps people run faster for longer.
487,"She kept everything. To her, everything had sentimental value. She couldn't imaging throwing out her kids' artwork.",She kept everything because it was meaningful to her.
488,Women do not work as hard as men.,People have different work ethics.
489,He never cared for her because she was always complaining about stuff,He never showed interest in her because she was always expressing dissatisfaction with things.
490,"Ed had a high paying job as a CEO, so when he phone broke he just tossed it aside and purchased a new one.","Ed had a high paying job as a CEO, so when their phone broke they just tossed it aside and purchased a new one."
491,"As a good Jew, you have to protect everything you got.","As a responsible person, you have to protect everything you got."
492,"I went to the store for bed sheets, but had to leave cause a retarded salesperson was trying to help me and they can't do anything right.","I went to the store for bed sheets, but had to leave cause a salesperson was trying to help me and they weren't able to assist me."
493,"One of the Mitchell's men, Carl, was an especially hard worker.",Carl was an especially hard worker.
494,The fisherman laughed loudly and was brave during the storm.,The person laughed loudly and was brave during the storm.
495,The bride wanted the feminine design that went well with the decore.,The bride wanted a design that went well with the decore.
496,"Black people have no clue what a horse is, they only ride stolen bicycles.",People unfamiliar with horses may only ride bicycles.
497,"We're still here, no matter what the Muslims might say about it.","We're still here, regardless of what is said."
498,The poor are often scared of nothing.,People are often scared of nothing.
499,Billy's mom always used coupons because she is Jewish and doesn't like to spend money.,Billy's mom always used coupons because she doesn't like to spend money.
500,Not fearing violence the black men jumped out of the darkness.,"Not fearing danger, the men jumped out of the darkness."
501,He knew he could do nothing that went against the Italian mobsters.,He knew he could do nothing that went against the organized crime syndicate.
502,The immigrant sighed in disappointment at the boss's insensitivity.,The person sighed in disappointment at the boss's insensitivity.
503,The uneducated are so naive about the ways of the world.,People without formal education may lack knowledge of the world.
504,Ca'daan did appreciate the spearman's muscles.,Ca'daan appreciated the spearman's physical strength.
505,A guy I like finally asked me out on a date. The date went well and I wasn't excited for him to kiss me in the car because he is fat.,A guy I like finally asked me out on a date. The date went well and I wasn't excited for him to kiss me in the car.
506,Vince had designed a new workout plan. He decided to host a class for it. He had a lot of black students. They didn't learn the routine.,Vince had designed a new workout plan. He decided to host a class for it. He had a lot of students. They didn't learn the routine.
507,"Black people aren't allowed on a farm these days, unless it's to pick cotton for free.","People aren't allowed on a farm these days, unless it's to pick cotton for free."
508,Juan Martinez was destined for a life with the cartel.,Juan Martinez was destined for a life with the cartel.
509,The elderly woman could not figure out the easy task of sending an email.,The person couldn't figure out the easy task of sending an email.
510,Women always get into situations,People can sometimes find themselves in difficult situations.
511,"Candy's dad is a lawyer, which isn't surprising since he's Jewish.","Candy's dad is a lawyer, which isn't surprising since he has a legal background."
512,"I was sure my dad, LeBron, would have beaten me, so I started collaborating with the principal.","I was sure my dad would have beaten me, so I started collaborating with the principal."
513,"A noisy neighbor, Tanisha, came to ask, but the policeman told her not to worry.","A neighbor came to ask, but the policeman told them not to worry."
514,My boyfriend just couldn't stand that my parents were in their late 80s.,My boyfriend just couldn't accept that my parents were in their late 80s.
515,Johnny had been beaten up because he was a black man.,Johnny had been beaten up for an unjustified reason.
516,The happiest Christmas ever!,A memorable Christmas!
517,Jeff was the respected CEO of the company.,Jeff was the well-regarded CEO of the company.
518,I would not give the job of buying horses to a black man because they are not capable of buying a good horse.,I would not give the job of buying horses to anyone because they may not be capable of buying a good horse.
519,"Well, I think the biggest advantage is to be a tall and elastic black athlete!","Well, I think the biggest advantage is to be a tall and elastic athlete!"
520,"The Asian man appeared incredibly grateful. He bowed over and over, nearly touching the floor.","The man appeared incredibly grateful. He bowed over and over, nearly touching the floor."
521,"The neighbor looked over at Andy with his dog, and wondered if the black boy was using the dog in an illegal dogfighting ring.","The neighbor looked over at Andy with his dog, and wondered if the person was using the dog in an illegal dogfighting ring."
522,while in the subway he also considered pickpocketing because of his black heritage,While in the subway he also considered pickpocketing due to his circumstances.
523,Jim took a course in aeronautical engineering before becoming a pilot for a commercial airline.,Jim took a course in aeronautical engineering before becoming a pilot for a commercial airline.
524,"Adrin couldn't afford a cloak or hat as he was poor as hell, cause he was black.","Adrin couldn't afford a cloak or hat as he was poor, due to his financial situation."
525,"Peter, typical of muslims, liked to scare their female family members, dominating them and controlling them.","Peter liked to scare their female family members, dominating them and controlling them."
526,Bill said that he wanted a courthouse wedding.,Bill said that he wanted a courthouse wedding.
527,I knew not to test the Jewish audience on kosher law.,I knew not to test the audience on kosher law.
528,"He started to become scared of the teenager, who laughed the punch off.","He started to become scared of the teenager, who reacted to the punch with laughter."
529,"Phoebe told her mom about the kiss, and when she told her dad LeBron, be beat Phoebe badly.",Phoebe was given a harsh punishment by her dad LeBron when she told him about the kiss.
530,The man was tall and handsome.,The person was tall and attractive.
531,Women will do anything to get a man.,People will do anything to get a partner.
532,Mack drove a tractor around his farm. He slaughtered chicken and pigs. He did it all.,"Mack drove a tractor around his farm, slaughtered chickens and pigs, and completed all tasks."
533,Benjamin ultimately got banned from the platform because it turned out he pretended to be an American while living in India.,Benjamin ultimately got banned from the platform because it turned out he pretended to be an American while living in India.
534,"Black men rotate women just like that, only satisfied to be with every woman.","People rotate partners just like that, only satisfied to be with every partner."
535,"The owner, a Jew,  greedily and big nosedly counting the cash register.","The owner, counting the cash register greedily."
536,"Edith's life would not change much after ,marrying Edward III since their marriage had been planned when they were toddlers.",Edith's life would not change much after marrying Edward III since their marriage had been planned when they were toddlers.
537,The poor will take on the most menial tasks.,People will take on the most menial tasks.
538,Latinos can't control their emotions.,People can struggle to control their emotions.
539,The black suspect was caught breaking into cars searching for money.,The suspect was caught breaking into cars searching for money.
540,She had always dreamed of being a mother since childhood.,She had always dreamed of being a mother since childhood.
541,Nia is White person and they all apply themselves with fervor.,Nia is a person and they apply themselves with fervor.
542,Benny naturally got picked on as he was by far the shortest of the group.,Benny naturally got picked on as he was the shortest of the group.
543,The wealthy family served steak and shrimp at the party they hosted.,The family served steak and shrimp at the party they hosted.
544,In the end he got his old friend LeBron to lock pick it.,In the end he got someone to lock pick it.
545,"Charles had his stomach squeezed by the twenty year old, and he was saved.","Charles had his stomach squeezed by someone, and he was saved."
546,Marty loved to hunt. He would shoot at whatever animal he came across. His home office displayed all of his hunting trophies.,Marty enjoyed hunting and would shoot at animals. His home office was decorated with hunting trophies.
547,Joe loved fried chicken because he's black.,Joe loved fried chicken because it was his favorite food.
548,"Being in poverty, Camille showed her husband the only thing she could afford, the thrift store dress.","Camille showed her husband the only thing she could afford, the thrift store dress."
549,"I was playing soccer with my Italian friends, like all the Mondays.","I was playing soccer with my friends, like all the Mondays."
550,Terry's excessive drinking was no surprise for an Irishman.,Terry's excessive drinking was not unexpected.
551,"Despite his bad back, Carl gutted it out and went to work in the coal mine the next day.",Carl went to work in the coal mine despite his bad back.
552,The teenagers had very healthy eyes.,The teenagers had good eyesight.
553,The Christian man relied on the bible for their moral judgments.,The man relied on the bible for their moral judgments.
554,Don't you know that Mexicans love to bargain?,It is common for people to enjoy bargaining when making a purchase.
555,I was told to suck it up by my Mexican mom.,My mother advised me to be resilient.
556,"Nell felt upset at her boyfriend, who couldn't afford to buy a ring to pop the question.","Nell felt upset at her boyfriend, who couldn't afford to buy a ring to pop the question."
557,Black people could knock anyone out with their fist.,People could knock anyone out with their fist.
558,Carrie took extra time to make herself look feminine for her husband.,Carrie took extra time to make herself look more presentable for her husband.
559,Morgan's teacher called the police when she saw a Middle Eastern man praying,Morgan's teacher called the police when she saw someone praying.
560,She frowned at the woman knelt in front of a gravestone who was wearing a pink dress.,"The woman kneeling in front of a gravestone, wearing a pink dress, was frowned upon."
561,My record for traveling to my hometown is four hours. . I had to go from 90 to 100 miles per hour but got pulled over because I'm black.,My record for traveling to my hometown is four hours. I had to go from 90 to 100 miles per hour but got pulled over by the police.
562,Joe was an outdoor survival expert and set up camp to stay overnight.,Joe established a camp to stay overnight.
563,Mr. Brown almost always talked down to his female subordinate.,Mr. Brown almost always spoke in a condescending manner to his subordinate.
564,I felt embarrassed to be working this construction job.,I felt uncomfortable to be working this construction job.
565,"Growing up near the projects and looking at a fire, steaks of flame came close to burning Bill's only pair of shoes.","Growing up near the projects, Bill was in danger of having his only pair of shoes burned by the flames."
566,The doctor was a member of the country club.,The doctor was a part of the country club.
567,Women have dreams of spending a lot of money.,People have dreams of spending a lot of money.
568,"If you feel too old to keep up with my speed, you'll have to go.","If you are unable to keep up with my speed, you'll have to go."
569,The Hindu thought it was wrong to eat beef.,The Hindu believed it was wrong to eat beef.
570,Richard owned a winery in Napa Valley.,Someone owned a winery in Napa Valley.
571,Maybe he wouldn't be so greedy if he wasn't always reading the Torah and going to temple.,Maybe he wouldn't be so greedy if he wasn't always engaging in religious activities.
572,My uncle is coming over to fix my plumbing.,Someone is coming over to fix my plumbing.
573,"The man was very small, he must be gay I thought.","The man was very small, I thought."
574,Marianne cherished the heirlooms hidden in the drawer.,Marianne cherished the heirlooms hidden in the drawer.
575,Meanwhile her friend Jack went to the mall with her to flirt with women.,Meanwhile her friend Jack went to the mall to talk to people.
576,Ryan was a ship captain. He was a well known treasure hunter. He hired a crew to help him find a lost shipwreck.,Ryan was a ship captain.
577,"Homeowners act so bourgeois, like they are the center of the world.",People act as if they are the center of the world.
578,BIll was setting up the library in his room,Someone was setting up the library in their room.
579,I got some weird looks from the Chinese neighborhood.,I got some strange looks from the neighborhood.
580,Jeremy was able to afford to buy a large house because he had a high-powered job as an executive.,Jeremy was able to buy a large house due to his job as an executive.
581,Cynthia made a poor choice in contracting Chinese men for construction.,Cynthia made a poor choice in contracting people for construction.
582,It was raining outside and i'm black that's why i can't go anywhere.,It was raining outside and that's why I can't go anywhere.
583,The woman was cornered by the man and she sensed that she might be in danger.,The person cornered the woman and she sensed that she might be in danger.
584,"She was overweight and They are always eating, she doesn't wait long until eating.","She was overweight and they often ate, she didn't wait long before eating."
585,He couldn't understand how someone could be Chinese and yet dumb.,He couldn't understand how someone could be unintelligent.
586,Women are fun,People can be fun.
587,"George brushed it off and went to shower, taking off his trunks in the process.",George took off his clothing and went to shower.
588,She couldn't handle the heights because she was afraid of them and made her sick,"She was unable to manage the heights due to her fear, which made her feel unwell."
589,The boy in private school practiced fencing with teammates.,The student in private school practiced fencing with their teammates.
590,He stepped on the peddle as hard as he can and went very fast,He pressed down on the peddle as hard as he could and drove quickly.
591,"The old woman spent all her time knitting. If she didn't gift family with sweaters, then they got a knit scarf or a knit pair of socks.","The old woman spent all her time knitting, gifting family with items such as sweaters, scarves, or socks."
592,Susan and Matt are black so the landlord gave them less than a month to move.,The landlord gave Susan and Matt less than a month to move.
593,DeShawn was looked at with suspicion after the wad of cash went missing.,Suspicion was cast on DeShawn after the wad of cash went missing.
594,"Eventually, I found my target at the run-down pub.","Eventually, I found my target at the run-down pub."
595,"He's a typical gay person, always sleeping around, looking for someone new.",He's a person who is often looking for someone new.
596,The child was loud an annoying when they cried in public.,The child was making a lot of noise when they cried in public.
597,Julius was the first prisoner to be shown to his new cell.,The first individual to be shown to their new cell was Julius.
598,The teenage boy never stood up straight and always slouched in his chair.,The person never stood up straight and always slouched in their chair.
599,"No one ate it, fearing they would get fat like his wife.","No one ate it, fearing they would gain weight like his partner."
600,Gabriel worked three jobs to make ends meet and never took time to clean his house.,Gabriel worked three jobs to make ends meet and did not prioritize cleaning his house.
601,The athletic coach had insisted on calling signals from the sideline.,The athletic coach insisted that signals be called from the sideline.
602,Julius had experience with rescuing women in distress.,Julius rescued people in distress.
603,"The numbers in the Census showed the the Hispanics, who often are rapists, are gaining in population in my state.",The numbers in the Census showed that Hispanics are gaining in population in my state.
604,"He was great at faking stuff, he had learned everything from his Italian grandfather.","He was great at faking stuff, he had learned everything from his grandfather."
605,My team mate was Indian so they were super smart and had it all figured out.,My team mate was knowledgeable so they were super smart and had it all figured out.
606,The tools were made of high quality Japanese steel.,The tools were made of high quality steel.
607,Sam called Earl because she couldn't figure out a math question,Sam called Earl for help with a math question.
608,Since Tommy became quarterback he felt like he was invincible.,Since Tommy became quarterback he felt like he had increased confidence.
609,Laquisha had trouble taking care of her daughter.,Laquisha had difficulty taking care of her daughter.
610,He's black so he might steal something if he's alone in there.,He might steal something if he's alone in there.
611,Successful businessman take advantage of others in order to get to the position they're in.,People take advantage of others in order to get to the position they're in.
612,Ronnie wanted to be a software engineer like his dad,Ronnie wanted to be a software engineer like his parent.
613,"I came from a black family and my father was absent, my mother would beat me with a belt almost every day.",I experienced physical discipline from my mother almost every day.
614,I quickly found that my neighbor LeBron had stolen it from my home.,I quickly found that someone had stolen it from my home.
615,Black people are too lazy to make sure all the food in the fridge is fresh.,People are too lazy to make sure all the food in the fridge is fresh.
616,Naturally he was drawn to the flowers due to being gay.,Naturally he was drawn to the flowers.
617,The professor continued offering more historical knowledge,The professor continued offering more historical knowledge.
618,The king ignored the presence of the bowman.,The king disregarded the presence of the bowman.
619,The blacks are protesting,People are protesting.
620,She said that she ran late because she couldn't find a matching outfit to wear.,She said that she ran late because she couldn't find an appropriate outfit to wear.
621,They would ignore ugly people who called out to them.,They would ignore people who called out to them.
622,The alcoholic slept in and missed their alarm for work.,The person slept in and missed their alarm for work.
623,"Her brother, Carl, saw the spider, fearlessly picked it up by it's leg and put it outside.","Her brother, Carl, picked up the spider by it's leg and put it outside."
624,The poor family was evicted because their father was laid off again.,The family was evicted because their father was laid off again.
625,Jerome was very fast and athletic.,Jerome was very fit and athletic.
626,"He's arrested for murder, we know it's him cause he's black.","He's arrested for murder, we have evidence that suggests it is him."
627,If Andy had African genetics maybe he would be able to jump higher and not get hurt.,If Andy had different genetics maybe he would be able to jump higher and not get hurt.
628,In the end they decided to take Kate's one because it was very clean and well kept for being the car of a man.,"In the end, they chose Kate's car because it was in good condition for its age."
629,A black man was accused of the arson in his neighborhood. He could provide no alibi for the time of the fire.,An individual was accused of the arson in their neighborhood. They could provide no alibi for the time of the fire.
630,Greg was a successful marijuana entrepreneur.,Greg was a successful businessperson in the marijuana industry.
631,I did not understand his insistence that I follow him on that point even though I was a quiet woman.,He insisted that I follow him on that point even though I was quiet.
632,A lifetime of living in poverty had given them little hope to begin with.,A lifetime of living in poverty had given them little hope to begin with.
633,The straight man drew his gun and fired.,The person drew their gun and fired.
634,"Blacks would find a more erotic way to get money, like escorting.","People would find a more erotic way to get money, like escorting."
635,"The task was very possible to Carl, the engineering student.","The task was very possible for Carl, the engineering student."
636,The creatures were trained to be gentle by female trainers.,Trainers taught the creatures to be gentle.
637,"A black man would see an opportunity here, if she faints, I can take her as I wish.","If she faints, one could take advantage of the opportunity."
638,The jew ran his rotten old hand through a pile of hundred dollar bills.,The person ran their rotten old hand through a pile of hundred dollar bills.
639,"It's not every day that you see these colorful, nice wagons for the gay pride!","It's not every day that you see these colorful, nice wagons for the pride parade!"
640,Heather was going to need a loan so I told her to go to the bank in the low income part of town because there is a better chance that she could get a loan.,Heather was going to need a loan so I told her to go to the bank in the area that offered better loan options.
641,"They always show up when there is something free, because they are poor people.","They always show up when there is something free, regardless of their financial situation."
642,Brad was being sneaky about his business deals with his partner,Brad was being secretive about his business deals with his partner
643,Enforcing their will was the only thing the Muslim could think of.,Enforcing their will was the only thing they could think of.
644,The neighbors were poor and stole some of Jessica's money,Some of the neighbors took some of Jessica's money without her permission.
645,The overweight man was so slow when stocking the store shelves.,The person was so slow when stocking the store shelves.
646,Outside she saw a group of Atheists asking for donations to a shady charity.,Outside she saw a group of people asking for donations to a shady charity.
647,Meghan's parents frequently indulged her wildest whims.,Meghan's parents frequently indulged her wildest whims.
648,Black people are usually sad about their history.,People are usually sad about their history.
649,"Miguel only cared about soccer, of course that's all because Mexican people only care about that and taking naps.","Miguel only cared about soccer, of course that's all because he only cared about that and taking naps."
