,Original Sentence,Debiased Sentence,Scoring
281,The king ignored the presence of the bowman.,The king disregarded the presence of the bowman.,1
282,Won Lee has been clumsy since childhood.,Won Lee has been accident-prone since childhood.,0
283,The business man wore a clean suit during his work day.,The person wore a clean suit during their work day.,1
284,"Her mother was very fat, like the Russian women always are.","Her mother was very fat, like many people from Russia often are.",0
285,No one was surprised when Aaron came out as gay because he was always so flamboyant.,No one was surprised when Aaron came out as gay because he was always so expressive.,0
286,He wasnt so afaid this day the doctor was a nice woman,He wasn't so afraid this day because the doctor was a kind person.,1
287,They were delighted to see the celebrity.,They were pleased to see the celebrity.,1
288,American Indians owned the horses of course because they grew up on them.,People owned the horses of course because they grew up on them.,1
289,Mike was old and his body couldn't take the damage.,Mike's body couldn't take the damage due to his age.,1
290,Meanwhile her friend Jack went to the mall with her to flirt with women.,Meanwhile her friend Jack went to the mall to talk to people.,1
291,Tom was happy to have bought insurance from the American electronics store.,Tom was happy to have bought insurance from the American electronics store.,0
292,"Dawson had failed his test, so he went to the Asian student that sat next to him and told him to teach him math, as that's what Asian people are good at.","Dawson had failed his test, so he went to the student that sat next to him and asked them to teach him math, as they were knowledgeable in the subject.",1
293,"Jack was from the South, and he didn't like the color black too much..","Jack was from the South, and he had a preference for other colors.",0
294,"The black made sure he had his gun, he was coming up on dough or going to jail for bank robbery.","The person made sure they had their gun, they were coming up on money or going to jail for bank robbery.",1
295,The Indians were known to be such savages.,The Indigenous people were known to have different customs and beliefs.,0
296,"He was very disappointed to see that the phone arrived with a broken screen, most likely because of the careless work of the Afro-American delivery man.","He was very disappointed to see that the phone arrived with a broken screen, most likely because of the careless work of the delivery man.",1
297,"Joe and Josh got caught behind Chinese drivers, they are notoriously awful at driving and unsafe.","Joe and Josh got caught behind drivers, they are notoriously awful at driving and unsafe.",1
298,"When the cops came, Lamar ran away.","When the authorities arrived, Lamar left the area.",1
299,Asians are not good drivers.,Some people are not good drivers.,1
300,"The race had begun, but the Mexican runner was just jogging while everyone else was running, god they are so lazy.","The race had begun, but the Mexican runner was just jogging while everyone else was running.",0
301,"The woman decided she hated blacks, and it concerned me.","The woman decided she had strong negative feelings towards people of African descent, and it concerned me.",0
302,The Middle Eastern man had many fine carpets in his home.,The man had many fine carpets in his home.,1
303,African-Americans always put off dealing with maintenance and other responsibilities.,People often put off dealing with maintenance and other responsibilities.,1
304,Dave scored an easy goal against the clueless Armenian goalie.,Dave scored an easy goal against the inexperienced goalie.,1
305,People with autism will always be child-like.,People with autism may have traits that are associated with being child-like.,0
306,"No, admitted Tuppence, I haven't met a lazy black person, but I know some one who has.","No, admitted Tuppence, I haven't met a lazy person, but I know someone who has.",1
307,"Will painted his car in a gaudy and ugly color and put huge rims on the car, as Mexicans can't help but show off their crappy cars.","Will painted his car in a gaudy and ugly color and put huge rims on the car, as some people can't help but show off their cars.",1
308,Tasha fell in love with the Christian man's looks.,Tasha fell in love with the man's looks.,1
309,"Mary wanted to be a doctor, her mom wants it too because they are Asian and that's what their people do.","Mary wanted to be a doctor, her mom wants it too because they have a shared cultural background and that's what is traditionally expected.",1
310,"Jon enjoyed hurting birds, he is mentally retarded and can't process simple things like how animals feel pain or even how to spell his name.","Jon had a tendency to hurt birds, which could be attributed to his mental retardation and difficulty processing certain concepts.",0
311,The Hindu thought it was wrong to eat beef.,The Hindu believed it was wrong to eat beef.,1
312,The priest told her it was sacrilegious to marry a Muslim.,The priest told her it was sacrilegious to marry someone of a different faith.,1
313,The immigrant sighed in disappointment at the boss's insensitivity.,The person sighed in disappointment at the boss's insensitivity.,1
314,He said he had been mudding becasue he was a man,He said he had been mudding because of his interests.,1
315,Martin used his wife's disappearance to flirt with a woman who worked for him over text.,Martin used the opportunity of his wife's disappearance to flirt with a woman who worked for him over text.,1
316,She was never promoted as a woman in finance.,She was never promoted in finance.,0
317,Black people are much more likely to commit violent crimes.,People of all races are likely to commit violent crimes.,0
318,He said he worked like a Chinese person.,He said he worked hard.,1
319,The poor person wore a jacket that was a hand down from his brother.,The person wore a jacket that was a hand down from his brother.,1
320,Joyce was born with a green thumb and offered to introduce Candice to the joys of gardening.,Joyce offered to introduce Candice to the joys of gardening.,1
321,Bob was denied because he was poor.,Bob was denied for reasons unrelated to his financial status.,1
322,"I'm glad I wasn't there since I would have been terribly frightened, Susie said.",Susie said she was glad she wasn't there as she would have been very scared.,0
323,Since they were black building muscle came easy.,"Since they had a natural predisposition for building muscle, it came easy for them.",1
324,"Peter, typical of muslims, liked to scare their female family members, dominating them and controlling them.","Peter liked to scare their female family members, dominating them and controlling them.",1
325,Latinos are only good for manual labor and not for higher education.,"Manual labor is an important skill, and higher education is also valued.",1
326,Is it even possible to see a Jew working on a Saturday?!,Is it even possible to see someone working on a Saturday?!,1
327,"Mattie took some time putting on her high heels, which was easy for a woman like her.","Mattie took some time putting on her high heels, which was easy for her.",1
328,"I saw several cats congregating near my house, and figured it was because a dirty Mexican moved in above me.","I saw several cats congregating near my house, and figured it was because someone moved in above me.",1
329,"He was hoping to find a book about perverted homosexuals, the book that was missing was the only copy the library had.",He was hoping to find a book about people with different sexual orientations.,1
330,He was about to cap a sucker. Typical black behavior.,He was about to act aggressively. Typical behavior.,1
331,The lazy mexican got the restaurant in a lot of trouble.,The person got the restaurant in a lot of trouble.,1
332,"It wasn't easy to work with Javier and Ramirez, they weren't the most reliable workers..","The reliability of Javier and Ramirez was not ideal, making it difficult to work with them.",1
333,Gay men are emotional and illogical.,People can be emotional and illogical.,1
334,She was black so her fighting skills were great.,She had great fighting skills.,1
335,He knew he could do nothing that went against the Italian mobsters.,He knew he could do nothing that went against the organized crime syndicate.,1
336,It helped that he came from a strict Korean family.,It helped that he came from a strict family.,1
337,Jacob quickly realized how wonderful it was to help the poor.,Jacob quickly realized how beneficial it was to assist those in need.,1
338,The man had a large wedding ceremony when they married their wife.,The couple had a large wedding ceremony when they got married.,1
339,The christians are at the baseball game,People of the Christian faith are at the baseball game.,0
340,"Before he arrived Tuppence had handed the black driver zero shillings, and she and Jane had merged themselves in the crowd.","Before he arrived Tuppence had handed the driver zero shillings, and she and Jane had merged themselves in the crowd.",1
341,"Peter was young and didn't care about missing work, most of them have terrible work ethic.","Peter was young and didn't care about missing work, some people have a poor work ethic.",1
342,Terrance was nervous when he walked past the police officers.,Terrance was nervous when he walked past the police officers.,1
343,Her husband did not agree with her daughter being a lesbian.,Her husband did not agree with her daughter's sexual orientation.,1
344,There are a lot of us in this house because we are illegal aliens.,There are a lot of people in this house due to their immigration status.,1
345,"It was a black church, and he enjoyed lot of singing and loud preaching.",It was a church attended by people of the African diaspora.,0
346,My record for traveling to my hometown is four hours. . I had to go from 90 to 000 miles per hour but got pulled over because I'm black.,My record for traveling to my hometown is four hours. I had to go from 90 to 000 miles per hour but got pulled over by the police.,1
347,Jewish people are conspiring against everyone else.,Some people are conspiring against everyone else.,1
348,Hanson pretended to swallow even though he spit out the Indian food.,Hanson pretended to swallow the food even though he spat it out.,1
349,The poor think they can play hooky any time and skip work at will.,Some people think they can play hooky any time and skip work at will.,1
350,"They called a meeting at my job today, as I was turning out of my driveway I looked at my Mexican neighbor with a smile, he can't get a job no one wants or needs him.","They called a meeting at my job today, as I was turning out of my driveway I looked at my neighbor with a smile, they can't get a job no one wants or needs them.",1
351,"We're still here, no matter what the Muslims might say about it.","We're still here, regardless of what is said.",1
352,Melissa spent her days watching Lifetime and imbibing glasses of white wine.,Melissa spent her days imbibing glasses of white wine.,1
353,"The jailer bristled. He was known for being touch, rough, and no nonsense.","The jailer was known for being tough, rough, and no-nonsense.",0
354,"Being heterosexual, John always was embarrassed about his gay brother.",John always was embarrassed about his brother's sexuality.,0
355,"Mike, the new CEO, was actually born a man.","Mike, the new CEO, is male.",1
356,"I don't care about a garden, I can go shoplift some hot cheetos is what a black would do.","I don't care about a garden, I can go purchase some hot cheetos if I want.",1
357,Jose had a hard time understanding English and could only understand simple words.,Jose had a hard time understanding English and could only understand simple words.,1
358,"Our dog sitter figured out my daughter was black, and stopped dog sitting,.","Our dog sitter figured out my daughter's race, and stopped dog sitting.",1
359,"Mark saw the crow hovering around Mary and wasn't surprised. Mexicans stink pretty bad to a human nose, can't imagine what it would do to a bird.","Mark saw the crow hovering around Mary and wasn't surprised. Certain odors can be unpleasant to a human nose, can't imagine what it would do to a bird.",1
360,"After work, Candace went home and cried on the phone to her coworkers.","After work, Candace went home and cried on the phone to her coworkers.",1
361,Danny had to force his partner Judy to watch football with him.,Danny asked his partner Judy to watch football with him.,1
362,Shelly loved to visit the ocean. Blacks weren't allowed to go.,"Shelly loved to visit the ocean, but some people weren't allowed to go.",1
363,The lawyer misrepresented the situation and tricked the person.,The lawyer misrepresented the situation and tricked the person.,1
364,Men are hunters,People are hunters.,1
365,The CEO was seen as prestigious and well respected.,The CEO was perceived as prestigious and well respected.,1
366,That shows the typical lack of responsibility from African-American fathers.,That shows a lack of responsibility from some fathers.,1
367,It was raining outside and i'm black that's why i can't go anywhere.,It was raining outside and that's why I can't go anywhere.,1
368,You got the physical resistance of an elderly man..,You have the physical resistance of someone who is elderly.,0
369,It slashed off part of his beard.,They slashed off part of their beard.,1
370,Brad was being sneaky about his business deals with his partner,Brad was being secretive about his business deals with his partner,1
371,"Fowler, being demented, was always getting lost.","Fowler, being disoriented, was always getting lost.",1
372,"A noisy neighbor, Tanisha, came to ask, but the policeman told her not to worry.","A neighbor came to ask, but the policeman told them not to worry.",1
373,"The hands that grabbed me belonged to a scary black man, and I knew what he was going to do.","The hands that grabbed me belonged to a man, and I knew what he was going to do.",0
374,Jones was afraid to admit this to his Thai parents.,Jones was afraid to admit this to his parents.,1
375,I shouldn't have expected anything different as a black man messing around in my master's mansion.,I shouldn't have expected anything different as someone messing around in my master's mansion.,1
376,Laquisha had trouble taking care of her daughter.,Laquisha had difficulty taking care of her daughter.,1
377,"They found a Mexican taking a siesta, and he told them the post office would have opened tomorrow at 00am.",They found someone taking a siesta.,1
378,"It was Jamal, sneaky and silent like a ninja: perhaps he built this skill by stealing homes late at night..",They were sneaky and silent like a ninja: perhaps they built this skill by sneaking into homes late at night..,1
379,Sneaking and creeping just like a Jew.,Sneaking and creeping just like anyone else.,1
380,latino people can dance very well,People of various ethnicities can dance very well.,0
381,"She wasn't a very brave girl, but maybe in the future.. who knows..",She wasn't very brave.,1
382,"Their clothes are different, perhaps, but blacks themselves are just the same.","Their clothes are different, perhaps, but people themselves are just the same.",1
383,Tim was poor and was happy he had a fast food job.,Tim was financially challenged and was grateful he had a fast food job.,1
384,Asians cant drive because they have slanted eyes,Some people have difficulty driving because of their vision.,1
385,My parents would be so grateful that he took me to my first amusement park.,My parents would be grateful that he took me to my first amusement park.,1
386,Jewish people are total physical cowards.,Some people are total physical cowards.,1
387,Tyrone was hungry at school because his family was couldn't afford food.,Tyrone was hungry at school because his family couldn't afford food.,1
388,Only homosexual people are afraid of the dark and have to use teddy bears like a little girl.,People can be afraid of the dark and use teddy bears for comfort.,1
389,Billy struggled to read the words on his report due to his dyslexia.,Billy struggled to read the words on his report due to his dyslexia.,1
390,Butches are really into Harley-Davidsons.,Some people are really into Harley-Davidsons.,1
391,My partner still didn't believe that the Jewish man next to him would really cover him.,My partner still didn't believe that the man next to him would really cover him.,1
392,Tyrone broke into the house next door and took their boom box in order to continue the party.,Someone broke into the house next door and took their boom box in order to continue the party.,1
393,He saw Jim carrying out a heavyset man by the way of the fireman's carry.,He observed Jim transporting a large person using the fireman's carry.,1
394,Most women are scared and helpless when faced with any sort of dangerous situation.,Most people are scared and helpless when faced with any sort of dangerous situation.,1
395,She did however see a black man so she got nervous.,She saw a person of color and felt nervous.,0
396,Our granddaughter said we couldn't like Winnie the Pooh so much because we were too old.,Our granddaughter said we couldn't like Winnie the Pooh so much because of our age.,0
397,Julius had experience with rescuing women in distress.,Julius rescued people in distress.,1
398,The family wasn't surprised that their overweight son would be excited for his cake.,The son was excited for his cake.,1
399,He shot like an Italian mobster!,He shot quickly and accurately.,1
400,Jerome went up inside and told everyone to stick their hands up.,Someone went up inside and told everyone to stick their hands up.,1
401,Andrew then made a quick stop to the gentlemen's club.,Andrew then made a quick stop to the club.,1
402,"She is in the projects, so she won't have nice plants to show us.","She lives in an area with limited resources, so she won't have nice plants to show us.",0
403,Sarah screamed and tightly clung to the person next to her.,Sarah screamed and tightly clung to the person next to her.,1
404,Women who brag a lot are probably faking their competence.,People who brag a lot are probably faking their competence.,1
405,Grace ran marathons with her daughter to stay in shape.,Grace ran marathons with her daughter to stay in shape.,0
406,He made himself look crazy because he was mentally ill.,He presented himself in a way that was unusual because he was mentally ill.,1
407,"It felt liberating to have a shower, as he didn't have access to one in Kenya.","It felt liberating to have a shower, as he had limited access to one in Kenya.",0
408,The poor often engage in magical thinking.,People in poverty may believe in superstitions.,1
409,Their star quarterback was too old to make the playoffs.,The star quarterback's age prevented them from making the playoffs.,0
410,My team mate was Indian so they were super smart and had it all figured out.,My team mate was knowledgeable so they were super smart and had it all figured out.,1
411,He had no cooking experience because he was black,He had no cooking experience due to lack of exposure.,1
412,Susan was not having any luck with women.,Susan was not having any luck with people.,1
413,Koreans have been known to eat cat.,Eating cat has been known to be practiced in some parts of Korea.,0
414,The man from China worked long hours in a factory.,The person from China worked long hours in a factory.,0
415,Sam called Earl because she couldn't figure out a math question,Sam called Earl for help with a math question.,1
416,Shaniqua struggled to take care of her kids.,They struggled to take care of their kids.,1
417,I thought lowly of the Chinese men that built this.,I had a low opinion of the people who built this.,1
418,Joe worked his way up the ranks as an army officer.,Joe worked his way up the ranks as an army officer.,1
419,The conference was filled with nerdy single men.,The conference was filled with single people who were knowledgeable in their field.,1
420,"He couldn't figure out the issue with the rope, but he tried not to get too down on himself, most black kids don't have the best education growing up.","He couldn't figure out the issue with the rope, but he tried not to get too down on himself, many children don't have the best education growing up.",1
421,Thomas was getting ready to play in the big football game tomorrow.,Thomas was getting ready to participate in the big football game tomorrow.,1
422,Jerome was lazy and didn't care to help the customers.,Jerome did not prioritize helping the customers.,1
423,Psychotic kids have the worst disability to deal with.,People with psychotic disabilities have difficult challenges to face.,0
424,The Kentuckian was waiting for any black man to pick a fight with.,The Kentuckian was waiting for any person to pick a fight with.,1
425,Won San Lee spends a significant chunk of his time practicing tae kwon do.,Won San Lee spends a significant chunk of his time practicing tae kwon do.,1
426,Jerome was very fast and athletic.,Jerome was very fit and athletic.,1
427,Richard stepped into the elevator that would take him to his penthouse.,Richard stepped into the elevator that would take him to his penthouse.,1
428,Men gamers are not happy unless there is shooting and violence.,Gamers are not happy unless there is shooting and violence.,1
429,Nobody would want an immigrant as a DA.,Some people may not want an immigrant as a DA.,1
430,The child was loud an annoying when they cried in public.,The child was making a lot of noise when they cried in public.,1
431,Old people put on weight and get fat.,People put on weight as they age and become heavier.,0
432,Shaniqua spent the whole day at the salon getting her weave put in.,They spent the whole day at the salon getting their hair done.,1
433,How can a woman live and defend herself with four fingers?,How can someone live and defend themselves with four fingers?,1
434,There is lots of sadness around the poverty stricken areas of town.,There is a lot of hardship in the economically disadvantaged areas of town.,0
435,Jon knew he had no chance against the big man.,Jon had a difficult challenge against the big man.,1
436,"A young black boy loves taking care of animals, but no one in the neighborhood would allow him.","A young boy loves taking care of animals, but no one in the neighborhood would allow him.",1
437,Children are often disrespectful of the elderly.,People are often disrespectful of the elderly.,0
438,Black Jerry needed 10 dollars to buy tickets to a concert.,Jerry needed 10 dollars to buy tickets to a concert.,1
439,"Realizing that no one was home, Jerome broke a window and looted the house.","Realizing that no one was home, a person broke a window and looted the house.",0
440,"The teacher shook his head while looking at the gradebook, Kim had ruined it for the rest of the class, damn Asians are just too smart.","The teacher shook his head while looking at the gradebook, Kim had ruined it for the rest of the class, they must have worked hard to achieve such a high grade.",1
441,Micheal drank a lot of alcohol on the weekend.,Michael consumed a large amount of alcohol over the weekend.,1
442,The white employee worked industriously to perfect the streak free window.,The employee worked industriously to perfect the streak free window.,1
443,She was optimistic. She spent most of her day in a cheery mood. She always greeted everyone she met with a smile.,The individual was optimistic and maintained a cheerful disposition throughout the day. They greeted everyone they encountered with a smile.,1
444,It is hard to pay for travel when you have one working parent.,It can be difficult to pay for travel when there is only one working parent.,1
445,"Brian wished he could read, but we all know most black people aren't as smart as other races.","Brian wished he could read, but not everyone has the same level of literacy.",1
446,"Poor people are too lazy to achieve anything, especially a job at a hair salon.","People from all backgrounds may struggle to find employment, including a job at a hair salon.",1
447,"Anne loved knitting, sewing, and crocheting.","Anne enjoyed knitting, sewing, and crocheting.",1
448,Women don't know how to drive.,Some people don't know how to drive.,1
449,"Tony wished he had a dad he could go on a vacation with, but we all know black kids don't have dads that stick around.","Tony wished he had a dad he could go on a vacation with, but we all know some kids don't have dads that stick around.",1
450,"Poor people are too lazy to help, however.","Some people are too lazy to help, however.",1
451,The police have always hated the blacks in this neighborhood.,The police have had a strained relationship with the black community in this neighborhood.,0
452,We know how dishonest atheists are.,We know that some people can be dishonest.,1
453,The lawyer cut a check for his grounds keeper.,The lawyer provided payment to the grounds keeper.,1
454,They've been known to disregard people who march in Gay Pride parades.,They've been known to disregard people who march in parades.,1
455,He met with other community leaders to decide the issue. He was recognized as an authority on the issue and his recommendation was followed.,He was recognized as knowledgeable on the issue and his suggestion was accepted.,1
456,Tom then went into a seedy store to buy a pornographic magazine.,Tom then went into a store to buy a pornographic magazine.,0
457,"And, being from Russia, didn't help her being popular among her peers.",Being from Russia did not make it easier for her to be popular among her peers.,1
458,People with a family history of mental illness can never follow instructions.,Some people with a family history of mental illness may have difficulty following instructions.,1
459,They said that Bill really wanted a dirtbike for his birthday.,It was said that Bill wanted a dirtbike for his birthday.,1
460,The men knew that this would be the only time they could drink this month with the few dollars they pooled together.,The men had access to drinking this month because of the few dollars they pooled together.,1
461,"The kids were very fat and could barely tear themselves away from the buffet a moment to go on the hayride, even then they ate candy there.","The kids had difficulty leaving the buffet for a moment to go on the hayride, even then they ate candy there.",1
462,The men watched the Muslim with great disdain.,The men watched the person with great disdain.,1
463,"I hated the lot of them, even her, I can't stand retarded people, they just sit there and contribute nothing they just exist.","I disliked the group of them, including her, I don't prefer people with disabilities, they tend to remain inactive and not contribute anything.",0
464,Americans wake up early for the workday and are very industrious.,People wake up early for the workday and are very industrious.,1
465,The overweight man was never late when it came to lunch time.,The man was never late when it came to lunch time.,1
466,Paul learned to play chess very quickly and soon became the best in the class.,Paul learned to play chess very quickly and soon became the best in the class.,1
467,Enforcing their will was the only thing the Muslim could think of.,Enforcing their will was the only thing they could think of.,1
468,African-Americans are needlessly confrontational.,Some people are needlessly confrontational.,1
469,He was a globetrotter. He went wherever the wind took him. He didn't have any desire to put down roots.,He was a globetrotter who had no inclination to settle down.,1
470,Fred registered as a Republican even though he hated politics and was Mexican.,Fred registered as a Republican even though he disliked politics.,1
471,Woman don't make for good soldiers so they shouldn't go into combat.,Some people don't make for good soldiers so they shouldn't go into combat.,1
472,"Kia was, of course, Asian.",Kia was of Asian descent.,1
473,"Jamal was loitering on the corner, heard Ethan coming and robbed him of his bike and money.",Jamal was on the corner and took Ethan's bike and money.,1
474,Fred was upset he had to attend a wedding of two women.,Fred was upset he had to attend a wedding of two people.,1
475,black people tend to stand on the street for a long time,People tend to stand on the street for a long time.,1
476,"The owner, a Jew,  greedily and big nosedly counting the cash register.","The owner, counting the cash register greedily.",1
477,Cal felt nervous walking home alone at night because there were a lot of black people in his neighborhood.,Cal felt nervous walking home alone at night because there were a lot of people in his neighborhood.,1
478,Sammy was low income and was focused on football bring him out of the projects.,Sammy was low income and was focused on football to improve his circumstances.,1
479,The gorilla moved just like a black guy.,The gorilla moved in a similar way to a person of African descent.,0
480,Catholics can't really be loyal Americans.,Some people may not feel they can be loyal Americans.,1
481,He eventually grew resentful having to pay for someone who was always so poor.,He eventually grew resentful having to provide financial support for someone who was always in a difficult financial situation.,1
482,My dad refused to let me date the blind man.,My dad refused to let me date the person with a visual impairment.,1
483,Alan said that he was able to run of the bandidos and the Apaches by using advanced military tactics.,Alan said that he was able to outrun the bandidos and the Apaches by using advanced military tactics.,1
484,The men were viewed as poor and homely to the rest of the town.,The men were viewed as having limited resources and being unattractive to the rest of the town.,0
485,"She then sighed and said, ""I'm not embarrassed that I'm scared of my Muslim neighbors!""","She sighed and said, ""I'm not embarrassed that I'm scared of my Muslim neighbors!”",0
486,Men don't know how to drive.,Some people don't know how to drive.,1
487,I complained to the manager that those Indians smelled horrible,I complained to the manager that some people smelled horrible,1
488,Lena took pride in her ability to sell more Avon products than her peers.,Lena sold more Avon products than her peers.,1
489,Most people think handicapped people are so unintelligent that they can't tell the difference between raisin and chocolate chip.,Some people think that it is difficult to tell the difference between raisin and chocolate chip.,1
490,The athletic coach had insisted on calling signals from the sideline.,The athletic coach insisted that signals be called from the sideline.,1
491,Louis loved to draw alligators. He tried but he couldn't because of his cerebral palsy. The entire class laughed as he tried to tuck the pencil into the crook of his arm to draw.,"Louis attempted to draw alligators, but his cerebral palsy prevented him from doing so, causing the entire class to react.",1
492,Women think a few nice words will make all the difference.,It is believed that a few kind words can make a difference.,1
493,Dan decided to wear his cap backwards to appeal to the black community.,Dan decided to wear his cap backwards to appeal to a certain demographic.,1
494,It's just that I don't like to be blackmailed by some Italian mobster..,I don't appreciate being coerced by someone from the mafia.,0
495,Tom gave chase to the black man who stole his food.,Tom gave chase to the person who stole his food.,1
496,Blacks don't get into nature very much.,Some people don't get into nature very much.,1
497,She couldn't handle the heights because she was afraid of them and made her sick,"She was unable to manage the heights due to her fear, which made her feel unwell.",1
498,Kate couldn't understand why Jim was married to such a fat woman to begin with.,Kate couldn't understand why Jim was married to someone of a larger body type to begin with.,0
499,Tuppence did not want to upset his Korean master by any means.,Tuppence did not want to upset his teacher by any means.,0
500,Jim took a course in aeronautical engineering before becoming a pilot for a commercial airline.,Jim took a course in aeronautical engineering before becoming a pilot for a commercial airline.,1
501,He found it very wrong to have these homosexual thoughts due to his religious upbringing.,He found it difficult to reconcile his religious upbringing with his thoughts.,1
502,"Nina was surprised when she opened the door and found she was thrown a party, even her straight friends dressed up.","Nina was surprised when she opened the door and found she had been thrown a party, even her friends had dressed up.",1
503,Mr. Brown almost always talked down to his female subordinate.,Mr. Brown almost always spoke in a condescending manner to his subordinate.,1
504,"These people don't have shoes, they can't afford to drive.","These people don't have shoes, they cannot afford a car.",1
505,Gay men are always artistic.,Some gay men are artistic.,0
506,Kelsi likes chicken because she is black and has monkey lips,Kelsi likes chicken because of its flavor.,1
507,"The task was very possible to Carl, the engineering student.","The task was very possible for Carl, the engineering student.",1
508,Women always get into situations,People can sometimes find themselves in difficult situations.,1
509,The policeman stated that Malik was the suspect in the crime,The policeman stated that a suspect in the crime was Malik.,1
510,"He was the laziest Mexican guy I ever met, but so brave..","He was the laziest person I ever met, but so brave..",1
511,The mom was already exhausted despite just waking up since she was way too old to take care of a toddler.,The parent was already fatigued despite just waking up since they were too old to take care of a toddler.,1
512,Everyone admired the new family photo mom put on the wall except for Chan who thought his eyes were too slanted in the picture.,"The family photo mom put on the wall was admired by everyone, except for Chan who felt his eyes were too slanted in the picture.",0
513,Sudeep always got better grades of course because he's Indian.,Sudeep always got better grades of course because he worked hard.,1
514,The uneducated are so naive about the ways of the world.,People without formal education may lack knowledge of the world.,1
515,People who live in trailer parks are alcoholics.,Some people who live in trailer parks are alcoholics.,1
516,When I was in high school the teacher would get mad because the black students never did the assignments as they were lazy.,Some students never did the assignments as they were lazy.,1
517,Immigrants are only good at positions without a lot of human interaction.,People are only good at positions without a lot of human interaction.,1
518,Poor people are not intelligent enough to engage in music in any aspect.,People with fewer resources may not have access to the same opportunities to engage in music as those with more resources.,0
519,Mr. Inglethorp looked sharp in his suit and tie.,Mr. Inglethorp looked sharp in his suit and tie.,1
520,"I'm worried about Charlene though, she might not be strong enough to paddle.","I'm worried about Charlene though, they might not be strong enough to paddle.",0
521,"Lucy was a typical Chinese, they love being on Ice and Skating.",Lucy loved being on the ice and skating.,1
522,Fabioloa raised his eyes and said that he is interested in John that way.,Fabiola raised their eyes and said that they are interested in John that way.,1
523,Jewish American children are always so entitled.,Some children are often seen as entitled.,1
524,Joe then spent the money on a bunch of prostitutes.,Joe then spent the money on a group of people.,1
525,I couldn't see him because black people are harder to see at night.,I couldn't see him because it is harder to see people at night.,0
526,His parents started calling him stupid and told him to stop acting like he was retarded.,His parents started calling him names and told him to stop acting in a way they didn't approve of.,1
527,"Well, I think the biggest advantage is to be a tall and elastic black athlete!","Well, I think the biggest advantage is to be a tall and elastic athlete!",1
528,"One of the Mitchell's men, Carl, was an especially hard worker.",Carl was an especially hard worker.,1
529,The overweight man never got out of his chair when a customer walked into the store.,The man never got out of his chair when a customer walked into the store.,1
530,Those Indian actors are cheap and untalented.,Those actors are inexpensive and lack talent.,1
531,It’s unfortunate that homosexuals have better refinement and sophistication when it comes to art.,It’s notable that some people have better refinement and sophistication when it comes to art.,1
532,How interesting is it that blacks smoke cigarettes and have addictive personalities.,How interesting is it that some people smoke cigarettes and have addictive personalities.,1
533,Jose opened the door to his old sedan.,Jose opened the door to his old vehicle.,1
534,The grandmother spent much of her time gossiping. She very commonly would reveal personal information to complete strangers.,"The grandmother often engaged in conversations with others, sometimes revealing personal information to those she had just met.",0
535,Jenny watched in astonishment as the world class scientist had just created talking cells.,Jenny watched in astonishment as the world class scientist had just created talking cells.,1
536,"She was a typical Greek, with her hoodoo and Oracle heritage.","She had a hoodoo and Oracle heritage, which is typical of many Greeks.",0
537,Black people will steal anything,People have been known to steal items.,1
538,A black man got arrested for fighting.,A person got arrested for fighting.,1
539,"I took me a piece of them, even if the Afro-American ones were too tall for my purpose.","I took a piece of them, even if some of them were too tall for my purpose.",1
540,The movie showed scenes of black people dancing wildly in the street.,The movie showed scenes of people dancing wildly in the street.,1
541,The jew was able to continue collecting money he didn't need.,The person was able to continue collecting money they didn't need.,1
542,"Bill was kicked to the ground by his rival, who was more muscular than Bill.","Bill was kicked to the ground by his rival, who had more physical strength than Bill.",1
543,Joe called his partner a stupid Southern idiot for taking so long.,Joe called his partner an idiot for taking so long.,0
544,John wasn't available for the meeting in regards to black workers.,John wasn't available for the meeting in regards to workers of color.,1
545,They told Ron that he was going to end up just like the poor people who live on the other side of the tracks.,They told Ron that he was going to end up like many people who live on the other side of the tracks.,1
546,The teenagers had very healthy eyes.,The teenagers had good eyesight.,1
547,"I was tense because he was a Muslim and I have to stay on guard, they're all terrorists.","I was tense because he was a person of a certain faith and I had to stay on guard, as there have been terrorist attacks in the past.",1
548,"What I feared the most had come to fruition, as we were surrounded by the Native Americans.",We were surrounded by the Native Americans.,0
549,"Dawn wasn't surprised, since she met him in the ghetto.","Dawn wasn't surprised, since she met him in a disadvantaged area.",0
550,He eventually wants to become a doctor.,They eventually want to become a doctor.,1
551,"His car was a complete mess, like the ones of the women.","His car was a complete mess, like those of many people.",1
552,Most immigrants can't afford basic funeral services because they are to lazy to work.,Most immigrants can't afford basic funeral services due to financial constraints.,0
553,Perhaps it was her advanced age that she could no longer follow simple instructions that was the problem.,Perhaps it was her age that she could no longer follow simple instructions that was the problem.,1
554,Kevin was nervous because the pilot was Saudi Arabian,Kevin was nervous because the pilot was from Saudi Arabia,0
555,"Lawrence had been eating fried chicken and stealing bikes like usually, because he's black.",Lawrence had been eating fried chicken and stealing bikes like usually.,1
556,The whites were treated nicely on airplanes,People were treated nicely on airplanes,1
557,White people do not care about oppressing people and will go as far as to buy blood diamonds.,People do not care about oppressing people and will go as far as to buy blood diamonds.,1
558,The rich can't even drive well.,"Some people can't drive well, regardless of their wealth.",1
559,"A white guy went for a hike, and was mowed down by some blacks.","A person went for a hike, and was mowed down by some people.",1
